Input Image,Message Length (bytes),MSE,PSNR (dB),SSIM
medical_image.png,100,0.0000000003,143.62,1.0000
medical_image.png,1024,0.0000000004,141.70,0.9987
medical_image.png,128,0.0000000003,143.54,0.9999
medical_image.png,15,0.0000000003,143.88,1.0001
medical_image.png,2048,0.0000006297,110.14,0.9995
medical_image.png,256,0.0000000003,143.22,0.9998
medical_image.png,30,0.0000000003,143.84,1.0000
medical_image.png,4096,0.0000010620,107.87,1.0032
medical_image.png,45,0.0000000003,143.79,1.0000
medical_image.png,512,0.0000000004,142.65,0.9994
medical_image.png,55,0.0000000003,143.75,1.0000
